CODAGENTE,NOMEDOGRUPO,CODGRUPO,VOLUME,FATURAMENTO,CODEMPRESA
572,COMBUSTIVEIS LIQUIDOS,1,7172.2859,41245.02,2
572,AGENTE REDUTOR,2,76.2112,227.87,2
572,LUBRIFICANTES,4,1.0,38.99,2
572,ADITIVOS E FLUIDOS,5,3.0,234.97,2
572,LIMPEZA E CONSERVACAO,21,1.0,27.0,2
572,COMBUSTIVEIS -  GNV,25,178.0836,824.51,2
573,COMBUSTIVEIS LIQUIDOS,1,16255.0718,94560.05,2
573,AGENTE REDUTOR,2,165.8836,495.99,2
573,LUBRIFICANTES,4,4.0,107.96,2
573,ADITIVOS E FLUIDOS,5,2.0,54.99,2
573,LIMPEZA E CONSERVACAO,21,12.0,191.86,2
573,COMBUSTIVEIS -  GNV,25,91.6455,424.31,2
573,PALHETA AUTOMOTIVA,29,2.0,68.0,2
575,COMBUSTIVEIS LIQUIDOS,1,2747.6611,15756.59,2
579,COMBUSTIVEIS LIQUIDOS,1,10610.831,61076.38,2
579,AGENTE REDUTOR,2,452.2303,1522.24,2
579,LUBRIFICANTES,4,8.0,321.92,2
579,ADITIVOS E FLUIDOS,5,2.0,55.59,2
579,PECAS E ACESSORIOS VEICULO ,10,3.0,114.0,2
579,LIMPEZA E CONSERVACAO,21,7.0,90.45,2
584,COMBUSTIVEIS LIQUIDOS,1,3920.5381,22040.8,2
584,AGENTE REDUTOR,2,10.783,32.24,2
584,LUBRIFICANTES,4,4.0,379.97,2
584,ADITIVOS E FLUIDOS,5,5.0,199.99,2
584,DIVERSOS GERAIS - VEICULOS,8,7.0,96.98,2
584,PECAS E ACESSORIOS VEICULO ,10,2.0,76.0,2
584,LIMPEZA E CONSERVACAO,21,2.0,35.98,2
584,COMBUSTIVEIS -  GNV,25,84.9561,393.34,2
596,COMBUSTIVEIS LIQUIDOS,1,878.8397,5020.5,2
610,COMBUSTIVEIS LIQUIDOS,1,2290.2615,12948.18,2
610,AGENTE REDUTOR,2,22.0201,65.84,2
610,LUBRIFICANTES,4,43.0,7685.6,2
610,ADITIVOS E FLUIDOS,5,5.0,561.79,2
610,FILTROS DE OLEO E AR,6,15.0,1781.95,2
610,FILTROS DE COMBUSTIVEIS,7,14.0,1762.92,2
610,PECAS E ACESSORIOS VEICULO ,10,2.0,76.0,2
616,COMBUSTIVEIS LIQUIDOS,1,4189.4199,23927.13,2
616,LUBRIFICANTES,4,3.2702,175.0,2
616,ADITIVOS E FLUIDOS,5,10.0,745.02,2
616,DIVERSOS GERAIS - VEICULOS,8,4.0,40.97,2
616,LIMPEZA E CONSERVACAO,21,6.0,107.81,2
616,PALHETA AUTOMOTIVA,29,29.0,957.91,2
617,COMBUSTIVEIS LIQUIDOS,1,15130.0978,86660.07,2
617,AGENTE REDUTOR,2,499.4449,1576.95,2
617,LUBRIFICANTES,4,3.0,372.98,2
617,ADITIVOS E FLUIDOS,5,1.0,28.99,2
617,DIVERSOS GERAIS - VEICULOS,8,1.0,17.0,2
617,PECAS E ACESSORIOS VEICULO ,10,1.0,38.0,2
617,LIMPEZA E CONSERVACAO,21,2.0,48.5,2
619,COMBUSTIVEIS LIQUIDOS,1,686.2085,3844.07,2
619,COMBUSTIVEIS -  GNV,25,0.24,1.11,2
623,COMBUSTIVEIS LIQUIDOS,1,290.5873,1625.65,2
624,COMBUSTIVEIS LIQUIDOS,1,3074.091,17329.53,2
624,LIMPEZA E CONSERVACAO,21,1.0,9.99,2
624,COMBUSTIVEIS -  GNV,25,101.0215,467.72,2
634,COMBUSTIVEIS LIQUIDOS,1,5954.5282,33595.47,2
634,LUBRIFICANTES,4,11.0,615.91,2
634,ADITIVOS E FLUIDOS,5,16.0,677.54,2
634,DIVERSOS GERAIS - VEICULOS,8,2.0,15.98,2
634,LIMPEZA E CONSERVACAO,21,3.0,58.98,2
634,PALHETA AUTOMOTIVA,29,4.0,136.0,2
635,COMBUSTIVEIS LIQUIDOS,1,5187.0861,28886.71,2
635,LUBRIFICANTES,4,3.0,68.61,2
635,ADITIVOS E FLUIDOS,5,2.0,239.9,2
635,DIVERSOS GERAIS - VEICULOS,8,1.0,18.99,2
635,LIMPEZA E CONSERVACAO,21,6.0,91.65,2
637,COMBUSTIVEIS LIQUIDOS,1,207.0528,1222.02,2
637,LUBRIFICANTES,4,1.0,22.99,2
637,ADITIVOS E FLUIDOS,5,1.0,62.99,2
637,DIVERSOS GERAIS - VEICULOS,8,1.0,7.99,2
637,LIMPEZA E CONSERVACAO,21,1.0,31.0,2
637,COMBUSTIVEIS -  GNV,25,2915.5453,13498.76,2
679,COMBUSTIVEIS LIQUIDOS,1,3325.4475,18699.31,2
679,LUBRIFICANTES,4,3.0,204.97,2
679,ADITIVOS E FLUIDOS,5,17.0,635.9,2
679,FILTROS DE COMBUSTIVEIS,7,1.0,99.99,2
679,DIVERSOS GERAIS - VEICULOS,8,2.0,19.19,2
679,LIMPEZA E CONSERVACAO,21,1.0,9.99,2
712,COMBUSTIVEIS LIQUIDOS,1,32.1919,154.19,2
723,COMBUSTIVEIS LIQUIDOS,1,5826.1185,32986.51,2
723,LUBRIFICANTES,4,4.0,127.96,2
723,ADITIVOS E FLUIDOS,5,38.0,1665.26,2
723,DIVERSOS GERAIS - VEICULOS,8,4.0,74.99,2
723,LIMPEZA E CONSERVACAO,21,8.0,153.79,2
723,PALHETA AUTOMOTIVA,29,1.0,28.99,2
1240,COMBUSTIVEIS LIQUIDOS,1,425.0595,2445.73,2
1240,LUBRIFICANTES,4,35.0,4969.67,2
1240,ADITIVOS E FLUIDOS,5,8.0,316.14,2
1240,FILTROS DE OLEO E AR,6,17.0,2071.8,2
1240,FILTROS DE COMBUSTIVEIS,7,15.0,1982.75,2
1240,LIMPEZA E CONSERVACAO,21,1.0,20.16,2
1431,SORVETES,26,12.0,79.0,2
2483,COMBUSTIVEIS LIQUIDOS,1,6891.0704,39309.42,2
